AssayIdentifier,Acetate ,Isobutyrate ,Succinate ,Butyrate ,Glucose ,Propionate ,Lactate ,Formate ,Project,TimePoint,Day,Time_hr,StudyIdentifier,SampleIdentifier,Acetate_Feed,DisturbanceCarbs,Type,BlautiaHydro,Fasting,OpticalDensity,pH,Short_sample,Fasting_condition,DilutionRate (mL/hour),Comments,DisturbanceCarbs_2,TimePoint,Note,RNASeq
F8T96,58.251,4.2839,1.7543,20.0418,0.1446,31.0368,0,4.3327,MDb-MM,T96,5,96,Bioreactor_C,Ferm_31_8_96,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.6,,,YES,10,RunNormal,ContinousSipkeNormalCarbohydrates,T96,Normal,NO
F5T100,58.49193203,0,1.990038794,15.2563802,0.242859465,22.67359953,0,2.090389186,MDb-MM,T100,5,100,Bioreactor_A,Ferm_15_5_100,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.2,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T100,Normal,NO
F6T100,57.20846361,0,2.204658707,17.8053565,0.24236772,22.58727442,0,1.167391358,MDb-MM,T100,5,100,Bioreactor_B,Ferm_15_6_100,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T100,Normal,NO
F8T100,54.15513705,0,1.869451791,16.91269288,0.273191425,22.98058592,0,0,MDb-MM,T100,5,100,Bioreactor_C,Ferm_15_8_100,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T100,Normal,NO
F5T104,58.85188683,0,2.372965976,17.11342517,0.273351375,21.60968322,0,2.589447133,MDb-MM,T104,5,104,Bioreactor_A,Ferm_60_5_104,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T104,Normal,NO
F6T104,60.91248705,0,2.546100737,19.11979668,0.297691334,22.48585544,0,1.934363384,MDb-MM,T104,5,104,Bioreactor_B,Ferm_60_6_104,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T104,Normal,NO
F8T104,56.11471286,0,2.901928049,18.42392271,0.038851309,22.83500037,0,1.723200492,MDb-MM,T104,5,104,Bioreactor_C,Ferm_60_8_104,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T104,Normal,NO
F5T120,54.2546,1.6422,0.3604,13.2068,0.1181,23.4102,0.1683,0,MDb-MM,T120,6,120,Bioreactor_A,Ferm_26_5_120,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T120,Normal,NO
F6T120,53.5586,1.4117,0,11.7062,0.1094,24.8101,0,0.0029,MDb-MM,T120,6,120,Bioreactor_B,Ferm_26_6_120,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.7,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T120,Normal,NO
F8T120,55.9009,1.6521,0,16.0554,0.0939,28.6383,0,0.0061,MDb-MM,T120,6,120,Bioreactor_C,Ferm_26_8_120,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.8,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T120,Normal,NO
F5T124,51.7423,1.317,0.8687,12.2672,0.1141,21.1125,0,0,MDb-MM,T124,6,124,Bioreactor_A,Ferm_17_5_124,YES,SipkeNormalCarbohydrates,Continous,NO,NO,6.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T124,Normal,NO
F6T124,49.9288,1.7258,0.9822,14.0546,0.1321,21.6452,0,0,MDb-MM,T124,6,124,Bioreactor_B,Ferm_17_6_124,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T124,Normal,NO
F8T152,57.7105,1.9557,1.8381,15.2426,0.1853,26.6861,0,0.9575,MDb-MM,T152,7,152,Bioreactor_C,Ferm_18_8_152,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T152,Normal,YES
F5T128,69.8756,3.2274,2.7781,16.0993,0.252,27.5607,0,4.1478,MDb-MM,T128,6,128,Bioreactor_A,Ferm_63_5_128,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.2,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T128,Normal,NO
F6T128,57.4445,2.0363,2.3006,15.8785,0.2171,24.2948,0,1.7797,MDb-MM,T128,6,128,Bioreactor_B,Ferm_63_6_128,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T128,Normal,NO
F8T128,59.1614,0,2.0779,21.4244,0.2424,27.5247,0,0.7172,MDb-MM,T128,6,128,Bioreactor_C,Ferm_63_8_128,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T128,Normal,NO
F5T144,64.0725,1.9203,0.5064,14.5502,0.2083,28.2461,0.7044,1.8458,MDb-MM,T144,7,144,Bioreactor_A,Ferm_64_5_144,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T144,Normal,NO
F6T144,62.7454,1.9368,0.5982,16.3013,0.1535,29.5535,0,0.101,MDb-MM,T144,7,144,Bioreactor_B,Ferm_64_6_144,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T144,Normal,NO
F8T144,61.13,1.928,0,16.8624,0.2099,30.5997,0,0,MDb-MM,T144,7,144,Bioreactor_C,Ferm_64_8_144,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T144,Normal,NO
F5T148,58.921,1.7381,1.4424,12.81,0.1472,24.2483,0,0.9139,MDb-MM,T148,7,148,Bioreactor_A,Ferm_24_5_148,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.2,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T148,Normal,NO
F6T148,55.8371,1.6601,1.5351,13.6984,0.1829,25.401,0,0.5564,MDb-MM,T148,7,148,Bioreactor_B,Ferm_24_6_148,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T148,Normal,NO
F8T148,58.7631,1.8159,1.1603,15.9784,0.1743,28.1988,0,0,MDb-MM,T148,7,148,Bioreactor_C,Ferm_24_8_148,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T148,Normal,NO
F5T152,59.3711,1.7512,1.4069,12.4887,0.1249,23.7127,0,0.1635,MDb-MM,T152,7,152,Bioreactor_A,Ferm_18_5_152,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T152,Normal,YES
F6T152,67.4092,2.0935,2.3735,16.3195,0.2178,28.0646,0,0.5944,MDb-MM,T152,7,152,Bioreactor_B,Ferm_18_6_152,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T152,Normal,YES
F8T124,57.1473,1.8188,1.1823,16.9829,0.1724,28.3102,0,0,MDb-MM,T124,6,124,Bioreactor_C,Ferm_17_8_124,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T124,Normal,NO
F5T168,70.335,2.2076,0.5838,14.2842,0.2477,29.5678,0.1192,0,MDb-MM,T168,8,168,Bioreactor_A,Ferm_59_5_168,YES,SipkeNormalCarbohydrates,Continous,YES,YES,6.7,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T168,Normal,NO
F6T168,69.6118,2.387,0.5901,16.5688,0.1498,30.7561,0.0915,0.456,MDb-MM,T168,8,168,Bioreactor_B,Ferm_59_6_168,YES,SipkeNormalCarbohydrates,Continous,YES,YES,6.8,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T168,Normal,NO
F8T168,57.3987,1.9228,0.4416,14.1084,0.1705,25.9931,0,0.3448,MDb-MM,T168,8,168,Bioreactor_C,Ferm_59_8_168,YES,SipkeNormalCarbohydrates,Continous,YES,YES,6.5,,,YES,10,RunNormal,BlautiaIntroFastingContinousSipkeNormalCarbohydrates,T168,Normal,NO
F5T172,67.9603,2.5407,1.3842,12.7378,0.1705,25.5312,0,0.3981,MDb-MM,T172,8,172,Bioreactor_A,Ferm_27_5_172,YES,SipkeNormalCarbohydrates,Continous,YES,NO,7.6,,,NO,10,RunNormal,BlautiaIntroContinousSipkeNormalCarbohydrates,T172,Normal,NO
